50041578,33,BROOKLYN,33,LAFAYETTE AVE,11217,9179874073,American
50051527,50,MANHATTAN,50,COMMERCE ST,10014,2125244104,Other
50002692,.TAO,MANHATTAN,92,9TH AVE,10011,2128882724,Asian
50018480,W'' CAFE,MANHATTAN,390,5TH AVE,10018,2125639444,American
40804423,(LEWIS DRUG STORE) LOCANDA VINI E OLII,BROOKLYN,129,GATES AVENUE,11238,7186229202,Italian
50007884,(LIBRARY)  FOUR & TWENTY BLACKBIRDS,BROOKLYN,10,GRAND ARMY PLZ,11238,3475743474,Caf̩/Coffee/Tea
41414797,(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),MANHATTAN,,CENTRAL PARK WEST,10019,6467475354,American
41480423,@NINE,MANHATTAN,592,9 AVENUE,10036,2123071363,Thai
50050805,#1 Chinese Restaurant,MANHATTAN,825,W 181ST ST,10033,9173258805,Chinese
41568346,#1 GARDEN CHINESE,BROOKLYN,221,PROSPECT PARK WEST,11215,7188321795,Chinese
50051964,#1 Natural Juice Bar,QUEENS,685,SENECA AVE,11385,3479565161,"Juice, Smoothies, Fruit Salads"
41336841,#1 SABOR LATINO RESTAURANT,BRONX,4120,WHITE PLAINS ROAD,10466,7186532222,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41652560,$1 PIZZA $2 BEER,MANHATTAN,95,MACDOUGAL STREET,10012,2122555090,Pizza
50046424,00+CO,MANHATTAN,65,2ND AVE,10003,2127771608,American
41322152,1 2 3 BURGER SHOT BEER,MANHATTAN,738,10 AVENUE,10019,2123150123,American
41316782,1 Banana Queen,BRONX,6,EAST MT EDEN AVENUE,10452,7187310039,American
41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017,2126814500,Indian
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American
41299757,1 OAK,MANHATTAN,453,WEST   17 STREET,10011,2122421111,American
41454445,1 OR 8,BROOKLYN,66,SOUTH    2 STREET,11249,7183842152,Japanese
41430594,1 STOP PATTY SHOP,MANHATTAN,1708,AMSTERDAM AVENUE,10031,2124917466,Bakery
41541504,"1,001 NIGHTS",BROOKLYN,35,NEPTUNE AVENUE,11235,7186461001,Mediterranean
50017487,1.5 GALBI RESTAURANT,QUEENS,15803,NORTHERN BLVD,11358,6463390203,Korean
50039202,10 BELOW ICE CREAM,MANHATTAN,10,MOTT ST,10013,3478795161,"Ice Cream, Gelato, Yogurt, Ices"
50052889,10 BELOW ICE CREAM,MANHATTAN,132,ALLEN ST,10002,,Other
50055209,10 BELOW ICE CREAM,MANHATTAN,42 1/2,SAINT MARKS PL,10003,3478795161,Other
50015202,10 DEVOE,BROOKLYN,10,DEVOE ST,11211,7183880066,Pizza
41711634,10 POINTS KTV,QUEENS,2007,127 STREET,11356,7183598668,Chinese
41111464,100 FUN,BROOKLYN,932934,60 STREET,11219,7184368883,Asian
50003996,100 montaditos,MANHATTAN,176,BLEECKER ST,10012,6465153599,Spanish
50014039,100% SMOOTHIES & EMPANADAS,BRONX,130,W 238TH ST,10463,3479134788,American
41456477,1001 NIGHTS CAFE,STATEN ISLAND,2025,RICHMOND AVENUE,10314,7183708080,American
41458716,101 CAFE,QUEENS,9805,101 AVENUE,11416,7188482233,American
40591271,101 DELI,QUEENS,10016,ROCKAWAY BEACH BOULEVARD,11694,7186341121,Delicatessen
50018149,101 MEAT SHOP,QUEENS,11601,101ST AVE,11419,7184419333,Indian
50049128,101% CAFE,MANHATTAN,115,STANTON ST,10002,2126088688,Other
40401104,1020 BAR,MANHATTAN,1020,AMSTERDAM AVENUE,10025,2125313468,American
50016029,1028 BAR & RESTAURANT EL SALVADORENO,BRONX,1028,CASTLE HILL AVE,10472,7186841701,Spanish
40639261,104-01 FOSTER AVENUE COFFEE SHOP(UPS),BROOKLYN,10401,FOSTER AVENUE,11236,7182707879,Caf̩/Coffee/Tea
50018436,1061 CATERING,BROOKLYN,1061,OCEAN PKWY,11230,7189754880,Jewish/Kosher
40942485,107 WEST RESTAURANT,MANHATTAN,2787,BROADWAY,10025,2128641555,American
50043863,1080 BREW,QUEENS,1080,WYCKOFF AVE,11385,3474849220,Caf̩/Coffee/Tea
50047025,10BELOW ICE CREAM,QUEENS,13620,38TH AVE,11354,3478795161,"Ice Cream, Gelato, Yogurt, Ices"
41092609,10TH AVENUE COOKSHOP,MANHATTAN,156,10 AVENUE,10011,2129244440,American
40673117,10TH AVENUE PIZZA & CAFE,MANHATTAN,256,10TH AVE BET 24 & 25 ST ),10001,2123669222,Pizza
50052807,11 HOWARD KITCHEN,MANHATTAN,138,LAFAYETTE ST,10013,6469371256,American
41217083,11 STREET CAFE,MANHATTAN,327,WEST   11 STREET,10014,6466924455,Caf̩/Coffee/Tea
40884354,111 RESTAURANT,QUEENS,0,CENTRAL TAXI HOLD,11430,7189955570,American
50011784,"1174 FULTON CUISINE, HALAL FOOD",BROOKLYN,1174,FULTON ST,11216,3474057708,African
50045391,1178 CAFE LLC,BROOKLYN,1178,BUSHWICK AVE,11221,9172957979,Caf̩/Coffee/Tea
50041601,118 KITCHEN,MANHATTAN,1,E 118TH ST,10029,2127226888,Tex-Mex
41006043,12 CHAIRS,MANHATTAN,56,MACDOUGAL STREET,10012,2122548640,American
